Connecticut December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195202,2.79,-0.49
195203,4.07,-0.12
195204,5.99,1.86
195205,4.63,0.70
195206,4.76,1.06
195207,2.89,-1.02
195208,7.67,3.44
195209,3.40,-0.59
195210,1.03,-2.64
195211,3.52,-0.60
195212,3.96,-0.04
195301,6.55,2.82
195302,3.37,0.09
195303,10.54,6.35
195304,5.86,1.73
195305,4.38,0.45
195306,2.43,-1.27
195307,4.56,0.65
195308,2.04,-2.19
195309,1.63,-2.36
195310,4.72,1.05
195311,3.77,-0.35
195312,5.54,1.54
195401,2.22,-1.51
195402,2.30,-0.98
195403,4.07,-0.12
195404,4.51,0.38
195405,4.21,0.28
195406,2.15,-1.55
195407,2.95,-0.96
195408,5.93,1.70
195409,7.98,3.99
195410,2.41,-1.26
195411,6.06,1.94
195412,5.32,1.32
195501,0.78,-2.95
195502,3.93,0.65
195503,4.63,0.44
195504,4.27,0.14
195505,1.62,-2.31
195506,3.09,-0.61
195507,2.47,-1.44
195508,15.01,10.78
195509,3.78,-0.21
195510,12.22,8.55
195511,5.52,1.40
195512,0.77,-3.23
195601,3.21,-0.52
195602,4.12,0.84
195603,5.14,0.95
195604,3.84,-0.29
195605,2.36,-1.57
195606,3.15,-0.55
195607,4.92,1.01
195608,1.48,-2.75
195609,4.86,0.87
195610,2.26,-1.41
195611,4.39,0.27
195612,4.87,0.87
195701,2.25,-1.48
195702,1.95,-1.33
195703,2.29,-1.90
195704,4.51,0.38
195705,2.48,-1.45
195706,1.34,-2.36
195707,2.42,-1.49
195708,3.00,-1.23
195709,2.19,-1.80
195710,3.13,-0.54
195711,4.32,0.20
195712,7.12,3.12
195801,6.48,2.75
195802,3.14,-0.14
195803,3.61,-0.58
195804,6.34,2.21
195805,3.99,0.06
195806,2.53,-1.17
195807,4.82,0.91
195808,4.33,0.10
195809,5.35,1.36
195810,5.30,1.63
195811,3.62,-0.50
195812,1.45,-2.55
195901,2.94,-0.79
195902,2.89,-0.39
195903,4.95,0.76
195904,4.15,0.02
195905,1.39,-2.54
195906,4.76,1.06
195907,4.85,0.94
195908,3.73,-0.50
195909,1.89,-2.10
195910,7.09,3.42
195911,5.29,1.17
195912,4.81,0.81
196001,3.17,-0.56
196002,4.91,1.63
196003,3.05,-1.14
196004,3.50,-0.63
196005,3.60,-0.33
196006,2.96,-0.74
196007,7.11,3.20
196008,2.73,-1.50
196009,7.69,3.70
196010,2.62,-1.05
196011,3.37,-0.75
196012,3.14,-0.86
196101,2.69,-1.04
196102,3.56,0.28
196103,3.61,-0.58
196104,5.72,1.59
196105,5.06,1.13
196106,2.98,-0.72
196107,2.89,-1.02
196108,4.05,-0.18
196109,4.58,0.59
196110,2.18,-1.49
196111,3.29,-0.83
196112,3.17,-0.83
196201,3.81,0.08
196202,4.23,0.95
196203,1.99,-2.20
196204,3.67,-0.46
196205,1.57,-2.36
196206,3.98,0.28
196207,2.02,-1.89
196208,4.19,-0.04
196209,3.28,-0.71
196210,4.70,1.03
196211,4.04,-0.08
196212,2.79,-1.21
196301,2.82,-0.91
196302,3.08,-0.20
196303,3.57,-0.62
196304,1.38,-2.75
196305,3.40,-0.53
196306,3.48,-0.22
196307,4.29,0.38
196308,2.21,-2.02
196309,3.87,-0.12
196310,0.44,-3.23
196311,6.95,2.83
196312,2.52,-1.48
196401,4.69,0.96
196402,2.95,-0.33
196403,2.76,-1.43
196404,4.93,0.80
196405,1.26,-2.67
196406,2.10,-1.60
196407,3.26,-0.65
196408,2.01,-2.22
196409,1.87,-2.12
196410,1.98,-1.69
196411,2.57,-1.55
196412,4.69,0.69
196501,2.87,-0.86
196502,3.78,0.50
196503,1.76,-2.43
196504,2.84,-1.29
196505,1.86,-2.07
196506,1.75,-1.95
196507,2.72,-1.19
196508,2.92,-1.31
196509,2.68,-1.31
196510,3.50,-0.17
196511,2.09,-2.03
196512,1.96,-2.04
196601,2.74,-0.99
196602,3.58,0.30
196603,2.91,-1.28
196604,1.41,-2.72
196605,3.72,-0.21
196606,1.92,-1.78
196607,2.54,-1.37
196608,1.92,-2.31
196609,5.65,1.66
196610,3.90,0.23
196611,4.09,-0.03
196612,3.21,-0.79
196701,1.47,-2.26
196702,2.71,-0.57
196703,5.18,0.99
196704,3.90,-0.23
196705,5.57,1.64
196706,3.51,-0.19
196707,4.23,0.32
196708,4.03,-0.20
196709,2.85,-1.14
196710,2.78,-0.89
196711,3.15,-0.97
196712,5.98,1.98
196801,2.57,-1.16
196802,1.06,-2.22
196803,5.36,1.17
196804,2.62,-1.51
196805,5.37,1.44
196806,6.20,2.50
196807,1.20,-2.71
196808,2.40,-1.83
196809,3.07,-0.92
196810,2.46,-1.21
196811,5.81,1.69
196812,5.91,1.91
196901,1.54,-2.19
196902,3.03,-0.25
196903,2.91,-1.28
196904,5.40,1.27
196905,3.67,-0.26
196906,2.61,-1.09
196907,6.40,2.49
196908,3.50,-0.73
196909,4.54,0.55
196910,2.08,-1.59
196911,6.11,1.99
196912,7.35,3.35
197001,0.58,-3.15
197002,4.74,1.46
197003,3.70,-0.49
